Instr Addr,Branch target,Num times taken
 ffffffe00015c7ca, ffffffe00015c85e,10
 ffffffe00003aa8e, ffffffe00003aa90,10
 ffffffe00003aa94, ffffffe00003aa98,10
 ffffffe00003aa9c, ffffffe00003aaa0,10
 ffffffe00003aab4, ffffffe000138696,10
 ffffffe000036e36, ffffffe0002289cc,10
 ffffffe0002289d0, ffffffe000228934,10
 ffffffe000228942, ffffffe000228946,10
 ffffffe000228954, ffffffe000228958,10
 ffffffe000228958, ffffffe000228966,10
 ffffffe000228984, ffffffe000228988,10
 ffffffe000228992, ffffffe000228998,10
 ffffffe000228998, ffffffe00022899c,10
 ffffffe00022899e, ffffffe000036e3a,10
 ffffffe000036e3a, ffffffe000036e3c,10
 ffffffe000036e3e, ffffffe0001388e0,10
 ffffffe000138960, ffffffe000138962,10
 ffffffe00015d2a6, ffffffe00015ca3a,10
 ffffffe00015ca46, ffffffe00015ca68,10
 ffffffe00015ca68, ffffffe00015d2aa,10
 ffffffe00015d2b4, ffffffe00015d2a2,10
 ffffffe000036e46, ffffffe00013892a,10
 ffffffe000233a76, ffffffe000233a7a,9
 ffffffe000233a7e, ffffffe000233a80,9
 ffffffe000233a80, ffffffe000233a88,9
 ffffffe000233a88, ffffffe000162044,9
 ffffffe000014c0e, ffffffe000014c10,9
 ffffffe00003c0d4, ffffffe000021836,8
 20000920cc, 20000920be,7
 20000920be, 20000920c0,7
 20000920c6, 20000920c8,7
 ffffffe000014b8e, ffffffe000014bb8,7
 ffffffe000014b86, ffffffe000138648,7
 ffffffe000138666, ffffffe00013866a,7
 ffffffe000138674, ffffffe00001a2e2,7
 ffffffe00001a2e8, ffffffe00001a2fc,7
 ffffffe00001a308, ffffffe000138678,7
 ffffffe00013867a, ffffffe00013867e,7
 ffffffe000138680, ffffffe000138684,7
 ffffffe0001386a4,27084,7
 ffffffe00001a350, ffffffe00001a352,7
 ffffffe00001a35c, ffffffe00001a36e,7
 ffffffe0001386b8, ffffffe000014bfa,7
 200008f30a, 200008f33c,7
 ffffffe000233a60, ffffffe000233a64,6
 ffffffe000233a68, ffffffe000233a6a,6
 ffffffe000233a6a, ffffffe000233a6c,6
 ffffffe000233a6c, ffffffe000161fc8,6
 ffffffe000163c82, ffffffe000163c86,6
 ffffffe000163c86, ffffffe000172300,6
 ffffffe000172304, ffffffe000172306,6
 ffffffe000172310, ffffffe000161fce,6
 ffffffe0001726c8, ffffffe0001726ca,6
 ffffffe0001726ce, ffffffe0001726d2,6
 ffffffe0001726de, ffffffe0001726e2,6
 ffffffe0001726e2, ffffffe0001726e6,6
